video,status,total_frames,valid_frames,missing_frames,feature_dim,output_file
trial_lie_010,success,146,162,91,1434,processed_landmarks\deceptive\trial_lie_010.npy
trial_lie_020,success,56,160,0,1434,processed_landmarks\deceptive\trial_lie_020.npy
trial_lie_043,success,71,160,14,1434,processed_landmarks\deceptive\trial_lie_043.npy
trial_truth_029,success,115,155,55,1434,processed_landmarks\truthful\trial_truth_029.npy
trial_truth_014,success,64,155,0,1434,processed_landmarks\truthful\trial_truth_014.npy
trial_truth_019,success,65,150,0,1434,processed_landmarks\truthful\trial_truth_019.npy
trial_truth_001,success,69,150,0,1434,processed_landmarks\truthful\trial_truth_001.npy
trial_lie_054,success,100,148,31,1434,processed_landmarks\deceptive\trial_lie_054.npy
trial_lie_014,success,70,146,0,1434,processed_landmarks\deceptive\trial_lie_014.npy
trial_lie_057,success,95,145,13,1434,processed_landmarks\deceptive\trial_lie_057.npy
trial_truth_028,success,90,143,6,1434,processed_landmarks\truthful\trial_truth_028.npy
trial_truth_033,success,85,143,0,1434,processed_landmarks\truthful\trial_truth_033.npy
trial_lie_006,success,91,142,5,1434,processed_landmarks\deceptive\trial_lie_006.npy
trial_lie_013,success,96,142,10,1434,processed_landmarks\deceptive\trial_lie_013.npy
trial_lie_021,success,91,140,4,1434,processed_landmarks\deceptive\trial_lie_021.npy
trial_truth_031,success,90,139,0,1434,processed_landmarks\truthful\trial_truth_031.npy
trial_truth_038,success,95,138,0,1434,processed_landmarks\truthful\trial_truth_038.npy
trial_lie_009,success,104,137,8,1434,processed_landmarks\deceptive\trial_lie_009.npy
trial_lie_029,success,99,135,0,1434,processed_landmarks\deceptive\trial_lie_029.npy
trial_truth_002,success,99,135,0,1434,processed_landmarks\truthful\trial_truth_002.npy
trial_truth_044,success,105,132,1,1434,processed_landmarks\truthful\trial_truth_044.npy
trial_truth_058,success,105,130,0,1434,processed_landmarks\truthful\trial_truth_058.npy
trial_truth_037,success,110,130,3,1434,processed_landmarks\truthful\trial_truth_037.npy
trial_truth_060,success,108,129,0,1434,processed_landmarks\truthful\trial_truth_060.npy
trial_truth_009,success,113,128,5,1434,processed_landmarks\truthful\trial_truth_009.npy
trial_truth_042,success,150,126,41,1434,processed_landmarks\truthful\trial_truth_042.npy
trial_lie_058,success,110,125,0,1434,processed_landmarks\deceptive\trial_lie_058.npy
trial_truth_043,success,110,124,0,1434,processed_landmarks\truthful\trial_truth_043.npy
trial_truth_024,success,112,122,0,1434,processed_landmarks\truthful\trial_truth_024.npy
trial_truth_051,success,145,121,33,1434,processed_landmarks\truthful\trial_truth_051.npy
trial_truth_023,success,113,120,0,1434,processed_landmarks\truthful\trial_truth_023.npy
trial_lie_042,success,120,119,7,1434,processed_landmarks\deceptive\trial_lie_042.npy
trial_truth_006,success,153,116,37,1434,processed_landmarks\truthful\trial_truth_006.npy
trial_lie_041,success,130,113,11,1434,processed_landmarks\deceptive\trial_lie_041.npy
trial_truth_054,success,120,113,0,1434,processed_landmarks\truthful\trial_truth_054.npy
trial_truth_048,success,130,112,9,1434,processed_landmarks\truthful\trial_truth_048.npy
trial_lie_028,success,122,112,0,1434,processed_landmarks\deceptive\trial_lie_028.npy
trial_lie_024,success,124,110,0,1434,processed_landmarks\deceptive\trial_lie_024.npy
trial_lie_038,success,125,110,0,1434,processed_landmarks\deceptive\trial_lie_038.npy
trial_lie_036,success,195,109,69,1434,processed_landmarks\deceptive\trial_lie_036.npy
trial_truth_047,success,130,108,2,1434,processed_landmarks\truthful\trial_truth_047.npy
trial_lie_056,success,145,108,16,1434,processed_landmarks\deceptive\trial_lie_056.npy
trial_lie_031,success,130,107,0,1434,processed_landmarks\deceptive\trial_lie_031.npy
trial_lie_040,success,130,105,0,1434,processed_landmarks\deceptive\trial_lie_040.npy
trial_truth_025,success,169,104,37,1434,processed_landmarks\truthful\trial_truth_025.npy
trial_lie_027,success,135,99,0,1434,processed_landmarks\deceptive\trial_lie_027.npy
trial_truth_059,success,135,99,0,1434,processed_landmarks\truthful\trial_truth_059.npy
trial_lie_037,success,141,96,4,1434,processed_landmarks\deceptive\trial_lie_037.npy
trial_lie_007,success,234,95,96,1434,processed_landmarks\deceptive\trial_lie_007.npy
trial_truth_013,success,139,90,0,1434,processed_landmarks\truthful\trial_truth_013.npy
trial_lie_032,success,140,87,0,1434,processed_landmarks\deceptive\trial_lie_032.npy
trial_truth_012,success,142,86,0,1434,processed_landmarks\truthful\trial_truth_012.npy
trial_truth_027,success,142,86,0,1434,processed_landmarks\truthful\trial_truth_027.npy
trial_lie_026,success,143,85,0,1434,processed_landmarks\deceptive\trial_lie_026.npy
trial_truth_022,success,143,84,0,1434,processed_landmarks\truthful\trial_truth_022.npy
trial_truth_055,success,145,82,0,1434,processed_landmarks\truthful\trial_truth_055.npy
trial_lie_034,success,150,70,4,1434,processed_landmarks\deceptive\trial_lie_034.npy
trial_lie_025,success,148,69,0,1434,processed_landmarks\deceptive\trial_lie_025.npy
trial_truth_035,success,150,69,0,1434,processed_landmarks\truthful\trial_truth_035.npy
trial_truth_049,success,150,65,0,1434,processed_landmarks\truthful\trial_truth_049.npy
trial_truth_034,success,155,64,0,1434,processed_landmarks\truthful\trial_truth_034.npy
trial_truth_040,success,155,60,0,1434,processed_landmarks\truthful\trial_truth_040.npy
trial_truth_026,success,160,57,0,1434,processed_landmarks\truthful\trial_truth_026.npy
trial_truth_039,success,160,56,0,1434,processed_landmarks\truthful\trial_truth_039.npy
trial_lie_039,success,162,55,0,1434,processed_landmarks\deceptive\trial_lie_039.npy
trial_truth_053,success,162,53,0,1434,processed_landmarks\truthful\trial_truth_053.npy
trial_truth_045,success,165,49,0,1434,processed_landmarks\truthful\trial_truth_045.npy
trial_lie_017,success,220,44,52,1434,processed_landmarks\deceptive\trial_lie_017.npy
trial_lie_011,success,169,42,0,1434,processed_landmarks\deceptive\trial_lie_011.npy
trial_truth_056,success,170,38,0,1434,processed_landmarks\truthful\trial_truth_056.npy
trial_lie_015,success,172,35,0,1434,processed_landmarks\deceptive\trial_lie_015.npy
trial_truth_005,success,174,35,2,1434,processed_landmarks\truthful\trial_truth_005.npy
trial_lie_018,success,173,32,0,1434,processed_landmarks\deceptive\trial_lie_018.npy
trial_lie_035,success,175,28,0,1434,processed_landmarks\deceptive\trial_lie_035.npy
trial_truth_015,success,178,22,0,1434,processed_landmarks\truthful\trial_truth_015.npy
trial_lie_019,success,184,18,0,1434,processed_landmarks\deceptive\trial_lie_019.npy
trial_lie_016,success,185,16,0,1434,processed_landmarks\deceptive\trial_lie_016.npy
trial_truth_032,success,185,11,0,1434,processed_landmarks\truthful\trial_truth_032.npy
trial_truth_036,success,185,11,0,1434,processed_landmarks\truthful\trial_truth_036.npy
trial_truth_046,success,185,8,0,1434,processed_landmarks\truthful\trial_truth_046.npy
trial_truth_057,success,190,8,2,1434,processed_landmarks\truthful\trial_truth_057.npy
trial_lie_030,success,189,5,0,1434,processed_landmarks\deceptive\trial_lie_030.npy
trial_truth_008,success,222,5,26,1434,processed_landmarks\truthful\trial_truth_008.npy
trial_lie_002,success,313,4,117,1434,processed_landmarks\deceptive\trial_lie_002.npy
trial_truth_011,success,205,1,0,1434,processed_landmarks\truthful\trial_truth_011.npy
trial_lie_052,success,240,0,35,1434,processed_landmarks\deceptive\trial_lie_052.npy
trial_lie_022,success,208,0,0,1434,processed_landmarks\deceptive\trial_lie_022.npy
trial_lie_023,success,217,0,6,1434,processed_landmarks\deceptive\trial_lie_023.npy
trial_lie_033,success,225,0,1,1434,processed_landmarks\deceptive\trial_lie_033.npy
trial_truth_030,success,275,0,0,1434,processed_landmarks\truthful\trial_truth_030.npy
trial_truth_004,success,408,0,102,1434,processed_landmarks\truthful\trial_truth_004.npy
trial_truth_007,success,358,0,23,1434,processed_landmarks\truthful\trial_truth_007.npy
trial_truth_010,success,361,0,4,1434,processed_landmarks\truthful\trial_truth_010.npy
